group,layer_index,op_name,family,fused,fused_nodes,wall_median_ms_median,wall_median_ms_p10,wall_median_ms_p90,wall_median_ms_cv,compute_wall_median_ms_median,compute_wall_median_ms_p10,compute_wall_median_ms_p90,compute_wall_median_ms_cv,barrier_wall_median_ms_median,barrier_wall_median_ms_p10,barrier_wall_median_ms_p90,barrier_wall_median_ms_cv,logical_read_bytes_median,logical_read_bytes_p10,logical_read_bytes_p90,logical_read_bytes_cv,logical_write_bytes_median,logical_write_bytes_p10,logical_write_bytes_p90,logical_write_bytes_cv,q1_logical_read_bytes_median,q1_logical_read_bytes_p10,q1_logical_read_bytes_p90,q1_logical_read_bytes_cv,q8_logical_read_bytes_median,q8_logical_read_bytes_p10,q8_logical_read_bytes_p90,q8_logical_read_bytes_cv,q1_wall_median_ms_median,q1_wall_median_ms_p10,q1_wall_median_ms_p90,q1_wall_median_ms_cv,f32_to_q8_wall_median_ms_median,f32_to_q8_wall_median_ms_p10,f32_to_q8_wall_median_ms_p90,f32_to_q8_wall_median_ms_cv
layer=5|op=UNARY|family=UNARY,5,UNARY,UNARY,False,1,0.00475,0.0042748000000000005,0.0171502,0.9610553415561582,0.003584,0.0032664,0.007966400000000002,0.5794737135676176,0.00275,0.0025754,0.015958200000000002,1.164466874402113,192.0,192.0,192.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=ADD|family=ADD,60,ADD,ADD,False,1,0.0102495,0.0100126,0.0136665,0.19240601754713954,0.0088955,0.008787600000000001,0.0114,0.1705846461804604,0.0084995,0.0081959,0.0117416,0.23366787449722454,40960.0,40960.0,40960.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=CONCAT|family=CONCAT,60,CONCAT,CONCAT,False,1,0.088416,0.0879166,0.22075,0.46011973337230727,0.08675,0.08651679999999999,0.2174336,0.46127008918488677,0.087083,0.0862998,0.218908,0.46417184797924543,163840.0,163840.0,163840.0,0.0,163840.0,163840.0,163840.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=GATED_DELTA_NET|family=GATED_DELTA_NET,60,GATED_DELTA_NET,GATED_DELTA_NET,False,1,1.146208,1.0730666,1.156692,0.03521767125570147,1.13975,1.06695,1.1476254,0.034684976141129115,0.151084,0.1051836,0.2185664,0.31246933905279967,3187072.0,3187072.0,3187072.0,0.0,3170304.0,3170304.0,3170304.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=GET_ROWS|family=GET_ROWS,60,GET_ROWS,GET_ROWS,False,1,0.025416,0.0230328,0.036658199999999995,0.21723659069640613,0.024375,0.021741800000000002,0.035366999999999996,0.22574399021225383,0.023583,0.022241,0.035808,0.22881111930021772,122884.0,122884.0,122884.0,0.0,122880.0,122880.0,122880.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=GLU|family=GLU,60,GLU,GLU,False,1,0.047834,0.0470332,0.048374600000000004,0.012769468168725104,0.045666,0.0455002,0.0462422,0.007819875611060229,0.045708,0.044783199999999995,0.0457752,0.010871287541011462,139264.0,139264.0,139264.0,0.0,69632.0,69632.0,69632.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=L2_NORM|family=L2_NORM,60,L2_NORM,L2_NORM,False,1,0.0062915,0.006004300000000001,0.006575,0.04011631226880896,0.004958499999999999,0.0047710999999999995,0.0051586,0.03761479668506384,0.0042915,0.0038417,0.0043123,0.05704485065579884,8192.0,8192.0,8192.0,0.0,8192.0,8192.0,8192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=MUL_MAT|family=MUL_MAT,60,MUL_MAT,MUL_MAT,False,1,2.2785,2.2608748,2.2818166,0.004251667319006095,2.27475,2.2569079999999997,2.2750498,0.0038544514837918734,0.161959,0.157367,0.1788084,0.05842447194036257,12554240.0,12554240.0,12554240.0,0.0,24576.0,24576.0,24576.0,0.0,12533760.0,12533760.0,12533760.0,0.0,23674880.0,23674880.0,23674880.0,0.0,2.25775,2.246217,2.2632581999999997,0.00335632824562917,0.0,0.0,0.0,
layer=60|op=MUL|family=MUL,60,MUL,MUL,False,1,0.003,0.0028332,0.0032168,0.05754877246011309,0.002083,0.0018662,0.0022,0.0731153275304856,0.001625,0.0015336,0.001783,0.06874661691317202,384.0,384.0,384.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=RMS_NORM|family=fused:RMS_NORM,60,RMS_NORM,fused:RMS_NORM,True,2,0.045291,0.0120422,0.0522168,0.5369199356426361,0.03125,0.011209,0.0448254,0.5415096183605663,0.029334,0.0110504,0.051016799999999994,0.5811922595781476,20480.0,20480.0,20480.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
